DB00655 1sqnB.LG0.pdb
DB00655 3q95B.LG1.pdb
DB00668 3pahA.LG0.pdb
DB00668 4ldoA.LG1.pdb
DB00674 4ey6B.LG1.pdb
DB00675 2fszB.LG0.pdb
DB00675 3ertA.LG0.pdb
DB00675 2gpuA.LG0.pdb
DB00675 2fszB.LG1.pdb
DB00675 1ya4B.LG1.pdb
DB00675 1ya4B.LG2.pdb
DB00679 3tbgC.LG0.pdb
DB00679 3tbgC.LG1.pdb
DB00682 1ha2A.LG6.pdb
DB00682 1og5A.LG1.pdb
DB00687 2aaxA.LG0.pdb
DB00687 4p6xI.LG2.pdb
DB00687 1gs4A.LG0.pdb
DB00695 1z9yA.LG0.pdb
DB00696 4iarA.LG0.pdb
DB00703 4lu3A.LG0.pdb
DB00703 3ml5A.LG0.pdb
DB00703 1bzmA.LG0.pdb
DB00703 3dc3A.LG0.pdb
DB00703 3czvB.LG0.pdb
DB00709 2noaA.LG1.pdb
DB00710 2f94A.LG0.pdb
DB00712 1r9oA.LG1.pdb
DB00712 3r94A.LG1.pdb
DB00717 1e3gA.LG0.pdb
DB00717 1a27A.LG0.pdb
DB00717 1lhuA.LG0.pdb
DB00717 2w8yB.LG0.pdb
DB00722 1o86A.LG0.pdb
DB00727 4fr8A.LG0.pdb
DB00733 4axbA.LG1.pdb
DB00741 4dvqE.LG1.pdb
DB00741 4p6xI.LG2.pdb
DB00742 1m2wA.LG1.pdb
DB00755 4i9rA.LG0.pdb
DB00755 2lbdA.LG0.pdb
DB00755 3fc6A.LG0.pdb
DB00755 4exzA.LG0.pdb
DB00755 2nnhA.LG1.pdb
DB00755 2nnhA.LG2.pdb
DB00773 4lb9A.LG4.pdb
DB00775 2vdmB.LG0.pdb
DB00775 2vdmA.LG2.pdb
DB00783 4pm1A.LG0.pdb
DB00783 1lhnA.LG0.pdb
DB00783 3ollA.LG1.pdb
DB00783 2yloA.LG0.pdb
DB00783 1iolA.LG0.pdb
DB00783 1sqnB.LG0.pdb
DB00783 3q95B.LG1.pdb
DB00787 2ki5B.LG0.pdb
DB00788 2vdbA.LG6.pdb
DB00788 4jq1A.LG0.pdb
DB00806 3tvxA.LG0.pdb
DB00818 1e7aA.LG0.pdb
DB00818 1e7aA.LG1.pdb
DB00819 4lu3A.LG0.pdb
DB00819 3ml5A.LG0.pdb
DB00819 1bzmA.LG0.pdb
DB00819 3dc3A.LG0.pdb
DB00819 3czvB.LG0.pdb
DB00820 1xozA.LG0.pdb
DB00829 2bxfA.LG0.pdb
DB00831 3ko0H.LG3.pdb
DB00831 1wrlE.LG3.pdb
DB00831 1ctrA.LG0.pdb
DB00831 3ko0H.LG2.pdb
DB00831 3ko0H.LG0.pdb
DB00831 1wrlE.LG1.pdb
DB00831 1wrlE.LG2.pdb
DB00831 1wrlE.LG0.pdb
DB00831 3ko0H.LG1.pdb
DB00834 3h52B.LG1.pdb
DB00834 2w8yA.LG0.pdb
DB00843 4ey7B.LG1.pdb
DB00850 3m0wI.LG2.pdb
DB00850 3m0wI.LG1.pdb
DB00850 3m0wI.LG0.pdb
DB00858 3ollA.LG1.pdb
DB00858 3s7sA.LG1.pdb
DB00858 2am9A.LG0.pdb
DB00858 1equA.LG1.pdb
DB00858 1lhnA.LG0.pdb
DB00860 2vdyA.LG0.pdb
DB00860 4p6xI.LG2.pdb
DB00861 2bxeA.LG0.pdb
DB00861 2bxeA.LG1.pdb
DB00861 2bxeA.LG2.pdb
DB00861 4i89B.LG0.pdb
DB00862 1xp0A.LG0.pdb
DB00862 1xotA.LG0.pdb
DB00866 3nyaA.LG2.pdb
DB00869 3fw3B.LG0.pdb
DB00869 4m2wA.LG0.pdb
DB00879 2noaA.LG1.pdb
DB00884 4nkeA.LG0.pdb
DB00890 3erdA.LG1.pdb
DB00900 1v3qA.LG0.pdb
DB00905 2f38A.LG1.pdb
DB00908 4wnvA.LG1.pdb
DB00909 3po7A.LG1.pdb
DB00910 1ie9A.LG0.pdb
DB00933 3tbgC.LG0.pdb
DB00933 3tbgC.LG1.pdb
DB00936 3b9mA.LG8.pdb
DB00936 3b9mA.LG7.pdb
DB00943 2no7A.LG1.pdb
DB00946 1og5A.LG1.pdb
DB00946 1ha2A.LG6.pdb
DB00959 4p6xK.LG2.pdb
DB00966 3vn2A.LG1.pdb
DB00977 1iolA.LG0.pdb
DB00977 1qkuA.LG0.pdb
DB00977 1xq3A.LG0.pdb
DB00982 3a9eB.LG1.pdb
DB00987 2no7A.LG1.pdb
DB00988 2qmzB.LG1.pdb
DB00988 2qmzB.LG3.pdb
DB00988 4a7vA.LG0.pdb
DB00990 3s79A.LG1.pdb
DB00990 1equA.LG1.pdb
DB00996 2cojA.LG1.pdb
DB01004 1ki2B.LG0.pdb
DB01011 1phgA.LG1.pdb
DB01011 1w0gA.LG0.pdb
DB01021 1zgfA.LG0.pdb
DB01023 2nnjA.LG1.pdb
DB01025 2kotB.LG0.pdb
DB01026 3ozwB.LG2.pdb
DB01026 2v0mC.LG1.pdb
DB01026 3i3kA.LG1.pdb
DB01030 1k4tD.LG0.pdb
DB01037 2bybA.LG1.pdb
DB01050 2bxgB.LG1.pdb
DB01050 2bxgB.LG0.pdb
DB01050 3r8gA.LG1.pdb
DB01051 4uroA.LG0.pdb
DB01065 2qwxB.LG3.pdb
DB01065 2qwxB.LG1.pdb
DB01070 3a78A.LG0.pdb
DB01073 2qroD.LG1.pdb
DB01076 3cctB.LG0.pdb
DB01076 3cctB.LG1.pdb
DB01085 3t3qA.LG1.pdb
DB01085 3t3zB.LG1.pdb
DB01087 4fgjA.LG1.pdb
DB01087 4fgjA.LG2.pdb
DB01095 1hwiB.LG1.pdb
DB01095 1hwiB.LG2.pdb
DB01098 1hwlA.LG1.pdb
DB01098 1hwlA.LG2.pdb
DB01103 1jqeA.LG1.pdb
DB01113 2weyA.LG0.pdb
DB01123 1bcuB.LG1.pdb
DB01123 1qvtC.LG0.pdb
DB01123 2v57C.LG0.pdb
DB01128 4ok1A.LG1.pdb
DB01132 2xkwA.LG0.pdb
DB01137 3k9fC.LG1.pdb
DB01142 3rzeA.LG0.pdb
DB01142 3rzeA.LG1.pdb
DB01144 2pouA.LG0.pdb
DB01151 2q72A.LG6.pdb
DB01151 2q72A.LG7.pdb
DB01157 1s3vA.LG0.pdb
DB01172 1knyB.LG1.pdb
DB01172 1knyB.LG2.pdb
DB01194 4m2vA.LG0.pdb
DB01197 4c2pA.LG1.pdb
DB01200 3ua1A.LG1.pdb
DB01204 4i41A.LG1.pdb
DB01204 4i41A.LG0.pdb
DB01216 3g1rB.LG1.pdb
DB01234 4p6xI.LG2.pdb
DB01242 2q72A.LG6.pdb
DB01242 2q72A.LG7.pdb
DB01244 1lxfA.LG1.pdb
DB01254 2gqgA.LG0.pdb
DB01259 1xkkA.LG0.pdb
DB01268 4agdA.LG0.pdb
DB01367 2xfqA.LG1.pdb
DB01384 2vdyA.LG0.pdb
