ID #HeavyAtom
02231215022D 47
02231215022D 19
02231215022D 8
02231215022D 20
02231215022D 13
02231215022D 28
02231215022D 14
04191212142D 24
02231215022D 32
02231215022D 19
02231215022D 34
02231215022D 23
04191212152D 28
02231215022D 21
02231215022D 22
02231215022D 20
02231215022D 28
04191212152D 26
04191212152D 33
02231215032D 31
02231215032D 4
02231215032D 18
02231215032D 27
04191212152D 13
02231215032D 12
02231215032D 14
02231215032D 19
02231215032D 9
02231215032D 13
08061321032D 22
04191212152D 22
04191212152D 9
02231215032D 26
02231215032D 18
02231215032D 34
02231215032D 21
02231215032D 57
04191212152D 18
02231215042D 18
02231215042D 21
02231215042D 42
04191212152D 19
02231215042D 18
02231215042D 16
02231215042D 38
04191212152D 27
02231215042D 14
04191212152D 30
04191212152D 30
04191212152D 65
04241205072D 34
02231215042D 16
02231215042D 17
02231215042D 32
04191212152D 29
02231215042D 16
02231215042D 17
02231215042D 17
02231215052D 25
02231215052D 8
02231215052D 23
04191212152D 20
02231215052D 17
02231215052D 22
02231215052D 22
04191212152D 43
02231215052D 27
02231215052D 23
02231215052D 3
02231215052D 27
02231215052D 17
02231215052D 21
02231215052D 19
02231215052D 22
02231215052D 30
02231215052D 25
04191212152D 22
02231215052D 24
02231215052D 14
02231215062D 30
02231215062D 16
02231215062D 33
02231215062D 26
02231215062D 15
02231215062D 11
02231215062D 12
02231215062D 25
02231215062D 23
02231215062D 23
02231215062D 22
02231215062D 34
02231215062D 21
02231215062D 35
02231215062D 21
02231215062D 21
02231215062D 20
02231215062D 17
02231215062D 27
02231215062D 32
02231215072D 42
02231215072D 26
02231215072D 21
02231215072D 19
02231215072D 10
02231215072D 15
02231215072D 30
02231215072D 19
02231215072D 25
02231215072D 40
02231215072D 21
02231215072D 15
02231215072D 40
02231215072D 13
04191212152D 21
04191212152D 41
02231215072D 36
02231215072D 17
02231215072D 37
02231215072D 10
02231215072D 23
02231215082D 20
02231215082D 58
04191212152D 33
02231215082D 22
02231215082D 27
02231215082D 13
02231215082D 27
02231215082D 18
02231215082D 18
02231215082D 23
02231215082D 20
02231215082D 15
02231215082D 39
02231215082D 22
01121421192D 15
02231215082D 22
04191212152D 90
02231215082D 2
02231215082D 27
02231215082D 30
02231215092D 20
02231215092D 36
02231215092D 58
10291314342D 22
02231215092D 25
02231215092D 21
02231215092D 19
02231215092D 20
04191212162D 22
02231215092D 25
02231215092D 30
02231215092D 33
02231215092D 23
